"sub"	"ExperimentName"	"TrialType"	"mapping"	"Cue"	"C"	"A"
3	"WIT_black_white"	"BlackGun"	"RightGun"	"Black"	0.65625	0.863636363636364
3	"WIT_black_white"	"WhiteGun"	"RightGun"	"White"	0.71875	0.555555555555556
4	"WIT_black_white"	"BlackGun"	"LeftGun"	"Black"	0.640625	0.652173913043478
4	"WIT_black_white"	"WhiteGun"	"LeftGun"	"White"	0.78125	0.571428571428571
5	"WIT_black_white"	"BlackGun"	"RightGun"	"Black"	0.4375	0.666666666666667
5	"WIT_black_white"	"WhiteGun"	"RightGun"	"White"	0.484375	0.515151515151515
6	"WIT_black_white"	"BlackGun"	"LeftGun"	"Black"	0.875	0.625
6	"WIT_black_white"	"WhiteGun"	"LeftGun"	"White"	0.84375	0.2
10	"WIT_black_white"	"BlackGun"	"LeftGun"	"Black"	0.484375	0.363636363636364
10	"WIT_black_white"	"WhiteGun"	"LeftGun"	"White"	0.53125	0.666666666666667
13	"WIT_black_white"	"BlackGun"	"RightGun"	"Black"	0.296875	0.6
13	"WIT_black_white"	"WhiteGun"	"RightGun"	"White"	0.375	0.675
17	"WIT_black_white"	"BlackGun"	"RightGun"	"Black"	0.515625	0.548387096774194
17	"WIT_black_white"	"WhiteGun"	"RightGun"	"White"	0.546875	0.103448275862069
18	"WIT_black_white"	"BlackGun"	"LeftGun"	"Black"	0.6875	0.4
18	"WIT_black_white"	"WhiteGun"	"LeftGun"	"White"	0.578125	0.481481481481481
19	"WIT_black_white"	"BlackGun"	"RightGun"	"Black"	0.71875	0.777777777777778
19	"WIT_black_white"	"WhiteGun"	"RightGun"	"White"	0.796875	0.538461538461538
21	"WIT_black_white"	"BlackGun"	"RightGun"	"Black"	0.671875	0.476190476190476
21	"WIT_black_white"	"WhiteGun"	"RightGun"	"White"	0.59375	0.346153846153846
22	"WIT_black_white"	"BlackGun"	"LeftGun"	"Black"	0.515625	0.774193548387097
22	"WIT_black_white"	"WhiteGun"	"LeftGun"	"White"	0.5	0.21875
25	"WIT_black_white"	"BlackGun"	"RightGun"	"Black"	0.453125	0.457142857142857
25	"WIT_black_white"	"WhiteGun"	"RightGun"	"White"	0.453125	0.571428571428571
26	"WIT_black_white"	"BlackGun"	"LeftGun"	"Black"	0.765625	0.866666666666667
26	"WIT_black_white"	"WhiteGun"	"LeftGun"	"White"	0.796875	0.461538461538462
27	"WIT_black_white"	"BlackGun"	"RightGun"	"Black"	0.625	0.625
27	"WIT_black_white"	"WhiteGun"	"RightGun"	"White"	0.5625	0.428571428571429
28	"WIT_black_white"	"BlackGun"	"LeftGun"	"Black"	0.75	0.5
28	"WIT_black_white"	"WhiteGun"	"LeftGun"	"White"	0.59375	0.307692307692308
32	"WIT_black_white"	"BlackGun"	"LeftGun"	"Black"	0.515625	0.612903225806452
32	"WIT_black_white"	"WhiteGun"	"LeftGun"	"White"	0.40625	0.315789473684211
35	"WIT_black_white"	"BlackGun"	"RightGun"	"Black"	0.328125	0.744186046511628
35	"WIT_black_white"	"WhiteGun"	"RightGun"	"White"	0.25	0.625
36	"WIT_black_white"	"BlackGun"	"LeftGun"	"Black"	0.546875	0.551724137931034
36	"WIT_black_white"	"WhiteGun"	"LeftGun"	"White"	0.71875	0.333333333333333
37	"WIT_black_white"	"BlackGun"	"RightGun"	"Black"	0.53125	0.8
37	"WIT_black_white"	"WhiteGun"	"RightGun"	"White"	0.40625	0.552631578947368
41	"WIT_black_white"	"BlackGun"	"RightGun"	"Black"	0.625	0.625
41	"WIT_black_white"	"WhiteGun"	"RightGun"	"White"	0.625	0.583333333333333
43	"WIT_black_white"	"BlackGun"	"RightGun"	"Black"	0.296875	0.733333333333333
43	"WIT_black_white"	"WhiteGun"	"RightGun"	"White"	0.171875	0.377358490566038
44	"WIT_black_white"	"BlackGun"	"LeftGun"	"Black"	0.25	0.604166666666667
44	"WIT_black_white"	"WhiteGun"	"LeftGun"	"White"	0.328125	0.534883720930233
45	"WIT_black_white"	"BlackGun"	"RightGun"	"Black"	0.609375	0.68
45	"WIT_black_white"	"WhiteGun"	"RightGun"	"White"	0.65625	0.272727272727273
46	"WIT_black_white"	"BlackGun"	"LeftGun"	"Black"	0.765625	0.133333333333333
46	"WIT_black_white"	"WhiteGun"	"LeftGun"	"White"	0.84375	0.2
49	"WIT_black_white"	"BlackGun"	"RightGun"	"Black"	0.625	0.708333333333333
49	"WIT_black_white"	"WhiteGun"	"RightGun"	"White"	0.734375	0.176470588235294
50	"WIT_black_white"	"BlackGun"	"LeftGun"	"Black"	0.296875	0.555555555555556
50	"WIT_black_white"	"WhiteGun"	"LeftGun"	"White"	0.234375	0.428571428571429
102	"WIT_neutral_black"	"BlackGun"	"LeftGun"	"Black"	0.65625	0.727272727272727
102	"WIT_neutral_black"	"NeutralGun"	"LeftGun"	"Neutral"	0.515625	0.225806451612903
