"sub"	"race"	"Condition"	"TrialType"	"CueType"	"ProbeType"	"mapping"	"rt"	"acc"	"C"	"A"
1	"white"	"neutHisp"	"HispGun"	"hispanic"	"weapon"	"RightGun"	397.071428571429	0.828571428571429	0.540900195694717	0.626598465473146
1	"white"	"neutHisp"	"NeutGun"	"abstract"	"weapon"	"RightGun"	405.108108108108	0.594594594594595	0.49600304529882	0.195619335347433
6	"white"	"WhiteHisp"	"HispGun"	"hispanic"	"weapon"	"LeftGun"	442.397260273973	0.876712328767123	0.795631247686042	0.396739130434782
6	"white"	"WhiteHisp"	"WhiteGun"	"white"	"weapon"	"LeftGun"	446.455882352941	0.941176470588235	0.845286059629331	0.619791666666666
7	"white"	"neutHisp"	"HispGun"	"hispanic"	"weapon"	"RightGun"	402.304347826087	0.855072463768116	0.588405797101449	0.647887323943662
7	"white"	"neutHisp"	"NeutGun"	"abstract"	"weapon"	"RightGun"	419.507042253521	0.563380281690141	0.412695350183292	0.256570302233902
9	"white"	"BlackHisp"	"BlackGun"	"black"	"weapon"	"RightGun"	371.466666666667	0.813333333333333	0.494492753623188	0.630733944954128
9	"white"	"BlackHisp"	"HispGun"	"hispanic"	"weapon"	"RightGun"	369.611111111111	0.833333333333333	0.527777777777777	0.647058823529412
12	"white"	"WhiteHisp"	"HispGun"	"hispanic"	"weapon"	"LeftGun"	373.652777777778	0.847222222222222	0.569444444444444	0.645161290322581
12	"white"	"WhiteHisp"	"WhiteGun"	"white"	"weapon"	"LeftGun"	368.96	0.813333333333333	0.523478260869565	0.608272506082724
20	"white"	"neutHisp"	"HispGun"	"hispanic"	"weapon"	"LeftGun"	348.225352112676	0.943661971830986	0.485328638497653	0.890535917901939
20	"white"	"neutHisp"	"NeutGun"	"abstract"	"weapon"	"LeftGun"	363.472222222222	0.722222222222222	0.503044140030441	0.44104134762634
21	"white"	"BlackHisp"	"BlackGun"	"black"	"weapon"	"RightGun"	402.753424657534	0.958904109589041	0.778348554033485	0.814592274678112
21	"white"	"BlackHisp"	"HispGun"	"hispanic"	"weapon"	"RightGun"	412.371428571429	0.785714285714286	0.648727984344423	0.389972144846797
23	"white"	"WhiteHisp"	"HispGun"	"hispanic"	"weapon"	"RightGun"	368.414285714286	0.728571428571429	0.646379647749511	0.232429441062535
23	"white"	"WhiteHisp"	"WhiteGun"	"white"	"weapon"	"RightGun"	384.121621621622	0.810810810810811	0.712219261515036	0.342592592592594
24	"white"	"WhiteHisp"	"HispGun"	"hispanic"	"weapon"	"LeftGun"	432.616438356164	0.767123287671233	0.502417405318292	0.531983805668016
24	"white"	"WhiteHisp"	"WhiteGun"	"white"	"weapon"	"LeftGun"	437.861111111111	0.652777777777778	0.546111111111111	0.235006119951041
25	"white"	"neutHisp"	"HispGun"	"hispanic"	"weapon"	"RightGun"	390.571428571429	0.842857142857143	0.697929606625259	0.479780671692941
25	"white"	"neutHisp"	"NeutGun"	"abstract"	"weapon"	"RightGun"	407.8	0.773333333333333	0.651711711711711	0.349198137609933
29	"white"	"WhiteHisp"	"HispGun"	"hispanic"	"weapon"	"RightGun"	330.098591549296	0.816901408450704	0.309859154929577	0.73469387755102
29	"white"	"WhiteHisp"	"WhiteGun"	"white"	"weapon"	"RightGun"	364	0.75	0.317567567567568	0.633663366336633
30	"white"	"WhiteHisp"	"HispGun"	"hispanic"	"weapon"	"LeftGun"	381.831168831169	0.779220779220779	0.493506493506493	0.564102564102564
30	"white"	"WhiteHisp"	"WhiteGun"	"white"	"weapon"	"LeftGun"	377.520547945205	0.849315068493151	0.58460918614021	0.637245392822503
31	"white"	"neutHisp"	"HispGun"	"hispanic"	"weapon"	"RightGun"	398.414285714286	0.871428571428571	0.663095238095238	0.618374558303886
31	"white"	"neutHisp"	"NeutGun"	"abstract"	"weapon"	"RightGun"	386.351351351351	0.689189189189189	0.480855855855856	0.401301518438177
34	"white"	"BlackHisp"	"BlackGun"	"black"	"weapon"	"LeftGun"	432.416666666667	0.847222222222222	0.650039123630673	0.563443264393515
34	"white"	"BlackHisp"	"HispGun"	"hispanic"	"weapon"	"LeftGun"	442.72	0.706666666666667	0.478095238095238	0.437956204379563
35	"white"	"WhiteHisp"	"HispGun"	"hispanic"	"weapon"	"RightGun"	358.581081081081	0.743243243243243	0.453388170779475	0.530275886778932
35	"white"	"WhiteHisp"	"WhiteGun"	"white"	"weapon"	"RightGun"	374.069444444444	0.75	0.407534246575342	0.578034682080925
36	"white"	"WhiteHisp"	"HispGun"	"hispanic"	"weapon"	"LeftGun"	382.028169014084	0.774647887323944	0.408450704225352	0.61904761904762
36	"white"	"WhiteHisp"	"WhiteGun"	"white"	"weapon"	"LeftGun"	365.797297297297	0.689189189189189	0.411411411411411	0.471938775510204
37	"white"	"neutHisp"	"HispGun"	"hispanic"	"weapon"	"RightGun"	353.513888888889	0.75	0.335714285714286	0.623655913978494
37	"white"	"neutHisp"	"NeutGun"	"abstract"	"weapon"	"RightGun"	363.763157894737	0.763157894736842	0.491729323308271	0.534023668639053
38	"white"	"neutHisp"	"HispGun"	"hispanic"	"weapon"	"LeftGun"	346.287671232877	0.73972602739726	0.383561643835616	0.577777777777778
38	"white"	"neutHisp"	"NeutGun"	"abstract"	"weapon"	"LeftGun"	346.085714285714	0.471428571428571	0.179761904761904	0.355587808417997
39	"white"	"BlackHisp"	"BlackGun"	"black"	"weapon"	"RightGun"	413.197183098592	0.901408450704225	0.768075117370892	0.5748987854251
39	"white"	"BlackHisp"	"HispGun"	"hispanic"	"weapon"	"RightGun"	409	0.694444444444444	0.637301587301587	0.157549234135667
40	"white"	"BlackHisp"	"BlackGun"	"black"	"weapon"	"LeftGun"	285.58904109589	0.684931506849315	0.150684931506849	0.629032258064516
40	"white"	"BlackHisp"	"HispGun"	"hispanic"	"weapon"	"LeftGun"	288.788732394366	0.647887323943662	0.169014084507042	0.576271186440678
