"Subject"	"mapping"	"Condition"	"Trial"	"TrialType"	"CueType"	"ProbeType"	"feedduration"	"Probe.ACC"	"Probe.RT"	"race"
9	"RightGun"	"BlackHisp"	2	"HispGun"	"hispFace1.bmp"	"WEAPON1.bmp"	1000	1	557	"white"
9	"RightGun"	"BlackHisp"	2	"HispGun"	"hispFace2.bmp"	"WEAPON4.bmp"	500	1	376	"white"
9	"RightGun"	"BlackHisp"	2	"BlackTool"	"BlackFace3.bmp"	"TOOL3.bmp"	500	1	487	"white"
9	"RightGun"	"BlackHisp"	2	"HispTool"	"hispFace3.bmp"	"TOOL1.bmp"	500	0	351	"white"
9	"RightGun"	"BlackHisp"	2	"HispGun"	"hispFace4.bmp"	"WEAPON3.bmp"	500	1	391	"white"
9	"RightGun"	"BlackHisp"	2	"HispGun"	"hispFace1.bmp"	"WEAPON2.bmp"	1000	1	567	"white"
9	"RightGun"	"BlackHisp"	2	"HispGun"	"hispFace2.bmp"	"WEAPON1.bmp"	500	1	482	"white"
9	"RightGun"	"BlackHisp"	2	"HispTool"	"hispFace3.bmp"	"TOOL4.bmp"	1000	1	586	"white"
9	"RightGun"	"BlackHisp"	2	"HispTool"	"hispFace4.bmp"	"TOOL2.bmp"	500	1	437	"white"
9	"RightGun"	"BlackHisp"	2	"BlackTool"	"BlackFace1.bmp"	"TOOL2.bmp"	500	0	381	"white"
9	"RightGun"	"BlackHisp"	2	"HispTool"	"hispFace1.bmp"	"TOOL4.bmp"	1000	1	501	"white"
9	"RightGun"	"BlackHisp"	2	"HispTool"	"hispFace2.bmp"	"TOOL3.bmp"	500	1	449	"white"
9	"RightGun"	"BlackHisp"	2	"BlackTool"	"BlackFace2.bmp"	"TOOL1.bmp"	1000	1	537	"white"
9	"RightGun"	"BlackHisp"	2	"BlackTool"	"BlackFace4.bmp"	"TOOL3.bmp"	500	1	460	"white"
