"Subject"	"Script"	"Condition"	"Gender"	"Sex"	"Race"	"Subset"	"mapping"	"laptop"	"Date"	"Time"	"Block"	"Trial"	"TrialType"	"CueType"	"ProbeType"	"BlackPrime"	"BlackTarget"	"GunTarget"	"WhitePrime"	"ToolTarget"	"Probe.ACC"	"Probe.RT"	"feedbackmask"	"Note"	"CueClass"	"ProbeClass"	"Probe"
"1"	"Scherer_2015_BG"	"BlackGun"	"2"	"F"	"1"	"Inconvenience"	"LeftGun"	"heavy"	"5/8/2015"	"8:10:20"	"RunProc"	"1"	"WhiteBlack"	"whiteface1.bmp"	"BlackFace1.bmp"	"BlackFace4.bmp"	"BlackFace1.bmp"	"NULL"	"whiteface1.bmp"	"NULL"	1	350	"fast"	NA	"white"	"Blac"	"Other"
"1"	"Scherer_2015_BG"	"BlackGun"	"2"	"F"	"1"	"Inconvenience"	"LeftGun"	"heavy"	"5/8/2015"	"8:10:20"	"RunProc"	"2"	"WhiteGun"	"whiteface2.bmp"	"WEAPON1dk.bmp"	"NULL"	"NULL"	"WEAPON1dk.bmp"	"whiteface2.bmp"	"NULL"	1	403	"fast"	NA	"white"	"WEAP"	"Gun"
"1"	"Scherer_2015_BG"	"BlackGun"	"2"	"F"	"1"	"Inconvenience"	"LeftGun"	"heavy"	"5/8/2015"	"8:10:20"	"RunProc"	"3"	"BlackGun"	"BlackFace4.bmp"	"WEAPON4dk.bmp"	"BlackFace4.bmp"	"BlackFace2.bmp"	"WEAPON4dk.bmp"	"NULL"	"NULL"	0	238	"fast"	NA	"Black"	"WEAP"	"Gun"
"1"	"Scherer_2015_BG"	"BlackGun"	"2"	"F"	"1"	"Inconvenience"	"LeftGun"	"heavy"	"5/8/2015"	"8:10:20"	"RunProc"	"4"	"WhiteGun"	"whiteface3.bmp"	"WEAPON3dk.bmp"	"NULL"	"NULL"	"WEAPON3dk.bmp"	"whiteface3.bmp"	"NULL"	1	467	"fast"	NA	"white"	"WEAP"	"Gun"
"1"	"Scherer_2015_BG"	"BlackGun"	"2"	"F"	"1"	"Inconvenience"	"LeftGun"	"heavy"	"5/8/2015"	"8:10:20"	"RunProc"	"5"	"WhiteGun"	"whiteface4.bmp"	"WEAPON2dk.bmp"	"NULL"	"NULL"	"WEAPON2dk.bmp"	"whiteface4.bmp"	"NULL"	1	486	"fast"	NA	"white"	"WEAP"	"Gun"
"1"	"Scherer_2015_BG"	"BlackGun"	"2"	"F"	"1"	"Inconvenience"	"LeftGun"	"heavy"	"5/8/2015"	"8:10:20"	"RunProc"	"6"	"WhiteBlack"	"whiteface2.bmp"	"BlackFace4.bmp"	"BlackFace1.bmp"	"BlackFace4.bmp"	"NULL"	"whiteface2.bmp"	"NULL"	1	469	"fast"	NA	"white"	"Blac"	"Other"
"1"	"Scherer_2015_BG"	"BlackGun"	"2"	"F"	"1"	"Inconvenience"	"LeftGun"	"heavy"	"5/8/2015"	"8:10:20"	"RunProc"	"7"	"BlackGun"	"BlackFace2.bmp"	"WEAPON3dk.bmp"	"BlackFace2.bmp"	"BlackFace3.bmp"	"WEAPON3dk.bmp"	"NULL"	"NULL"	1	489	"fast"	NA	"Black"	"WEAP"	"Gun"
"1"	"Scherer_2015_BG"	"BlackGun"	"2"	"F"	"1"	"Inconvenience"	"LeftGun"	"heavy"	"5/8/2015"	"8:10:20"	"RunProc"	"8"	"WhiteGun"	"whiteface4.bmp"	"WEAPON1dk.bmp"	"NULL"	"NULL"	"WEAPON1dk.bmp"	"whiteface4.bmp"	"NULL"	1	444	"fast"	NA	"white"	"WEAP"	"Gun"
"1"	"Scherer_2015_BG"	"BlackGun"	"2"	"F"	"1"	"Inconvenience"	"LeftGun"	"heavy"	"5/8/2015"	"8:10:20"	"RunProc"	"9"	"BlackGun"	"BlackFace1.bmp"	"WEAPON4dk.bmp"	"BlackFace1.bmp"	"BlackFace2.bmp"	"WEAPON4dk.bmp"	"NULL"	"NULL"	1	476	"fast"	NA	"Black"	"WEAP"	"Gun"
"1"	"Scherer_2015_BG"	"BlackGun"	"2"	"F"	"1"	"Inconvenience"	"LeftGun"	"heavy"	"5/8/2015"	"8:10:20"	"RunProc"	"10"	"BlackGun"	"BlackFace2.bmp"	"WEAPON2dk.bmp"	"BlackFace2.bmp"	"BlackFace4.bmp"	"WEAPON2dk.bmp"	"NULL"	"NULL"	1	430	"fast"	NA	"Black"	"WEAP"	"Gun"
