"Subject"	"Session"	"SessionDate"	"SessionTime"	"Condition"	"mapping"	"Trial"	"Gender.RESP"	"Race.RESP"	"SubTrial"	"BlackPrime"	"ChunkList"	"Correct"	"feedbackmask"	"GunTarget"	"ITIValue"	"NeuTarget"	"Probe.ACC"	"Probe.RT"	"Probe1.ACC"	"Probe1.RT"	"ProbeType"	"Procedure.Trial."	"Procedure.SubTrial."	"Repeat"	"Running.SubTrial."	"ToolTarget"	"TrialType"	"WhitePrime"
10	10	"11/19/2015"	"16:27:18"	"GunNeu"	"RightGun"	4	1	1	1	"BlackFace2.bmp"	1	"j"	"fast"	"WEAPON1.bmp"	NA	""	0	306	NA	NA	"WEAPON1.bmp"	"RunProc"	"TrialProc"	""	"ChunkList"	""	"BlackGun"	""
10	10	"11/19/2015"	"16:27:18"	"GunNeu"	"RightGun"	4	1	1	2	""	1	"f"	"slow"	""	NA	"gripstrength.bmp"	1	689	NA	NA	"gripstrength.bmp"	"RunProc"	"TrialProc"	""	"ChunkList"	""	"WhiteNeu"	"whiteface2.bmp"
10	10	"11/19/2015"	"16:27:18"	"GunNeu"	"RightGun"	4	1	1	3	"BlackFace4.bmp"	1	"f"	"fast"	""	NA	"giraffe.bmp"	1	193	NA	NA	"giraffe.bmp"	"RunProc"	"TrialProc"	""	"ChunkList"	""	"BlackNeu"	""
10	10	"11/19/2015"	"16:27:18"	"GunNeu"	"RightGun"	4	1	1	4	""	1	"f"	"fast"	""	NA	"banana.bmp"	1	256	NA	NA	"banana.bmp"	"RunProc"	"TrialProc"	""	"ChunkList"	""	"WhiteNeu"	"whiteface4.bmp"
10	10	"11/19/2015"	"16:27:18"	"GunNeu"	"RightGun"	4	1	1	5	"BlackFace3.bmp"	1	"f"	"fast"	""	NA	"absneut3.bmp"	1	183	NA	NA	"absneut3.bmp"	"RunProc"	"TrialProc"	""	"ChunkList"	""	"BlackNeu"	""
10	10	"11/19/2015"	"16:27:18"	"GunNeu"	"RightGun"	4	1	1	6	"BlackFace1.bmp"	1	"j"	"fast"	"WEAPON2.bmp"	NA	""	0	247	NA	NA	"WEAPON2.bmp"	"RunProc"	"TrialProc"	""	"ChunkList"	""	"BlackGun"	""
10	10	"11/19/2015"	"16:27:18"	"GunNeu"	"RightGun"	4	1	1	7	""	1	"j"	"fast"	"WEAPON3.bmp"	NA	""	1	334	NA	NA	"WEAPON3.bmp"	"RunProc"	"TrialProc"	""	"ChunkList"	""	"WhiteGun"	"whiteface3.bmp"
10	10	"11/19/2015"	"16:27:18"	"GunNeu"	"RightGun"	4	1	1	8	""	1	"f"	"slow"	""	NA	"giraffe.bmp"	1	509	NA	NA	"giraffe.bmp"	"RunProc"	"TrialProc"	""	"ChunkList"	""	"WhiteNeu"	"whiteface1.bmp"
10	10	"11/19/2015"	"16:27:18"	"GunNeu"	"RightGun"	4	1	1	9	""	1	"f"	"fast"	""	NA	"banana.bmp"	1	252	NA	NA	"banana.bmp"	"RunProc"	"TrialProc"	""	"ChunkList"	""	"WhiteNeu"	"whiteface4.bmp"
10	10	"11/19/2015"	"16:27:18"	"GunNeu"	"RightGun"	4	1	1	10	""	1	"j"	"fast"	"WEAPON4.bmp"	NA	""	1	412	NA	NA	"WEAPON4.bmp"	"RunProc"	"TrialProc"	""	"ChunkList"	""	"WhiteGun"	"whiteface1.bmp"
10	10	"11/19/2015"	"16:27:18"	"GunNeu"	"RightGun"	4	1	1	11	""	1	"f"	"fast"	""	NA	"absneut3.bmp"	1	411	NA	NA	"absneut3.bmp"	"RunProc"	"TrialProc"	""	"ChunkList"	""	"WhiteNeu"	"whiteface2.bmp"
10	10	"11/19/2015"	"16:27:18"	"GunNeu"	"RightGun"	4	1	1	12	""	1	"j"	"fast"	"WEAPON4.bmp"	NA	""	1	434	NA	NA	"WEAPON4.bmp"	"RunProc"	"TrialProc"	""	"ChunkList"	""	"WhiteGun"	"whiteface3.bmp"
10	10	"11/19/2015"	"16:27:18"	"GunNeu"	"RightGun"	4	1	1	13	"BlackFace3.bmp"	1	"j"	"fast"	"WEAPON1.bmp"	NA	""	1	402	NA	NA	"WEAPON1.bmp"	"RunProc"	"TrialProc"	""	"ChunkList"	""	"BlackGun"	""
10	10	"11/19/2015"	"16:27:18"	"GunNeu"	"RightGun"	4	1	1	14	"BlackFace4.bmp"	1	"j"	"fast"	"WEAPON2.bmp"	NA	""	1	345	NA	NA	"WEAPON2.bmp"	"RunProc"	"TrialProc"	""	"ChunkList"	""	"BlackGun"	""
10	10	"11/19/2015"	"16:27:18"	"GunNeu"	"RightGun"	4	1	1	15	"BlackFace1.bmp"	1	"j"	"fast"	"WEAPON3.bmp"	NA	""	1	352	NA	NA	"WEAPON3.bmp"	"RunProc"	"TrialProc"	""	"ChunkList"	""	"BlackGun"	""
10	10	"11/19/2015"	"16:27:18"	"GunNeu"	"RightGun"	4	1	1	16	""	1	"j"	"fast"	"WEAPON3.bmp"	NA	""	0	304	NA	NA	"WEAPON3.bmp"	"RunProc"	"TrialProc"	""	"ChunkList"	""	"WhiteGun"	"whiteface4.bmp"
10	10	"11/19/2015"	"16:27:18"	"GunNeu"	"RightGun"	4	1	1	17	"BlackFace2.bmp"	1	"f"	"fast"	""	NA	"gripstrength.bmp"	0	335	NA	NA	"gripstrength.bmp"	"RunProc"	"TrialProc"	""	"ChunkList"	""	"BlackNeu"	""
